AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DiscountDLC count,Reviews,Mac,Linux,Metacritic score,Positive,Negative,Score rank,Recommendations,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres_x,rating,owners_min,owners_max,year,ID,Title,ReleaseDate,Rating,Genres_y,Platforms,Metascore,Userscore,Developer,Publisher
233450,prison architect,2015-10-06,5000000 - 10000000,781,0,7.49,75,[],True,True,True,0,64439,7891,18,1811,238,501,317,"Introversion Software,Double Eleven",Paradox Interactive,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Family Sharing",0.0,5000000,10000000,2015,1921.0,prison architect,2015-10-06,M,Tycoon,"PC,Xbox One,PlayStation 4",83.0,80.0,introversion,"introversion,paradox interactive"
239160,thief,2014-02-27,1000000 - 2000000,110,17,2.99,85,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Russian', 'Czech']",True,True,False,0,17337,5926,37,584,0,232,0,"Eidos-Montréal,Feral Interactive (Mac)","Eidos Interactive Corp.,Feral Interactive (Mac)","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Subtitle Options,Steam Cloud,Steam Leaderboards,Remote Play on TV,Family Sharing",0.0,1000000,2000000,2014,9409.0,thief,2014-02-25,M,Action Adventure,"PC,Xbox One,PlayStation 4",67.0,61.0,eidos montreal,square enix
1627570,the plucky squire,2024-09-17,100000 - 200000,12,0,14.99,50,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America']",True,False,False,0,2224,357,24,308,1,210,1,All Possible Futures,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",0.0,100000,200000,2024,2016.0,the plucky squire,2024-09-17,Unknown,Action Adventure,"PC,PlayStation 5,Xbox Series X,Nintendo Switch",83.0,73.0,all possible futures,devolver digital
339690,paperbound,2015-03-31,0 - 20000,0,0,2.99,70,[],True,False,False,0,25,3,11,463,0,505,0,Dissident Logic,Dissident Logic,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Includes level editor,Remote Play Together,Family Sharing",0.0,0,20000,2015,8666.0,paperbound,2015-03-31,E10+,2D Fighting,"PC,PlayStation 4",69.0,62.0,dissident logic,"dissident logic,crossfunction"
493540,figment,2017-09-22,500000 - 1000000,4,0,3.99,80,"['English', 'Portuguese - Brazil']",True,True,True,0,4610,674,23,144,2,73,2,Bedtime Digital Games,Bedtime Digital Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Family Sharing",0.0,500000,1000000,2017,5610.0,figment,2018-06-28,E10+,Action Adventure,"PC,Nintendo Switch",75.0,70.0,bedtime digital games,"bedtime digital games,unties"
1047220,frog detective 2: the case of the invisible wizard,2019-12-09,100000 - 200000,1,0,2.74,0,"['English', 'French', 'Italian', 'German', 'Portuguese - Brazil', 'Spanish - Latin America', 'Japanese']",True,True,False,0,1890,90,6,97,0,116,0,"Grace Bruxner,Thomas Bowker","worm club,SUPERHOT PRESENTS","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",0.0,100000,200000,2019,2563.0,frog detective 2: the case of the invisible wizard,2019-12-09,Unknown,First-Person Adventure,PC,81.0,75.0,grace bruxner,worm club
1715130,crysis remastered,2021-09-17,500000 - 1000000,83,0,10.49,65,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Turkish']",True,False,False,0,9972,3146,40,269,52,124,52,Crytek,Crytek,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing",0.0,500000,1000000,2021,9608.0,crysis remastered,2020-07-23,M,FPS,"Nintendo Switch,PC,PlayStation 4,Xbox One",66.0,75.0,saber interactive,crytek
460950,katana zero,2019-04-18,2000000 - 5000000,82,0,8.99,40,[],True,True,False,0,69672,1397,22,391,38,292,38,Askiisoft,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",0.0,2000000,5000000,2019,1989.0,katana zero,2019-04-17,M,2D Platformer,"PC,Nintendo Switch",83.0,85.0,askiisoft,"devolver digital,limited run games"
213610,sonic adventure 2,2012-11-19,1000000 - 2000000,234,0,4.99,50,"['English', 'Japanese']",True,False,False,0,22711,2761,15,833,41,217,54,SEGA,SEGA,"Single-player,Multi-player,Partial Controller Support,Remote Play Together,Family Sharing",0.0,1000000,2000000,2012,6696.0,sonic adventure 2,2002-02-11,E,3D Platformer,"Dreamcast,Xbox 360,PlayStation 3,GameCube",73.0,84.0,sonic team,sega
815370,green hell,2019-09-05,2000000 - 5000000,1656,0,2.49,90,"['English', 'Simplified Chinese', 'Indonesian']",True,False,False,0,69304,11300,68,1147,274,520,240,Creepy Jar,Creepy Jar,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Adjustable Text Size,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Subtitle Options,Partial Controller Support,Steam Cloud,Remote Play on Tablet,Family Sharing",0.0,2000000,5000000,2019,4149.0,green hell,2019-09-05,Unknown,Survival,"PC,PlayStation 4,Xbox One",78.0,75.0,creepy jar,creepy jar
